,0
0,1.765901235683069e-08
1,1.7645874868300218e-08
2,1.4875214862051145e-08
3,1.4693732774310298e-08
4,1.392385112049752e-08
5,1.2924657887188225e-08
6,1.278272487940325e-08
7,1.233981934701872e-08
8,1.3062859512519492e-08
9,1.2623443807919588e-08
10,1.8681668487134896e-08
11,1.6455932513901166e-08
12,1.711792103766035e-08
13,1.7104313806665206e-08
14,1.6183532891332672e-08
15,1.4744639929685421e-08
16,1.6323191456046352e-08
17,1.5102212264963506e-08
18,1.3822827893940998e-08
19,1.3998307691559842e-08
20,1.4113066010549522e-08
21,1.442221128779628e-08
22,1.58807994547355e-08
23,1.4247865014555118e-08
24,1.3239623052145686e-08
25,1.299845044868716e-08
26,1.2833395204146441e-08
27,1.2431811809593e-08
28,1.2192524145353877e-08
29,1.1752803392069715e-08
30,1.1875655325412025e-08
31,1.154537401549045e-08
32,1.1719209525936188e-08
33,1.1303976585412798e-08
34,1.1024971303339517e-08
35,1.0828456234825119e-08
36,1.0517261295840094e-08
37,2.1404291750960016e-08
38,4.9797349274467886e-08
39,4.9965724385850795e-08
40,4.940708828404803e-08
41,5.14374102554602e-08
42,4.754094225536431e-08
43,4.7666130182281146e-08
44,4.9498385707146956e-08
45,5.008350954988915e-08
46,4.8652263631204226e-08
47,4.8196280971236254e-08
48,4.789489869153505e-08
49,4.760662846900513e-08
50,4.9688069442192975e-08
51,5.076698705094196e-08
52,5.213215552101797e-08
53,5.317777396289007e-08
54,5.2564961582070856e-08
55,5.260185991200566e-08
56,5.230943050662549e-08
57,5.2454612330968004e-08
58,5.2952795398870384e-08
59,5.346703118308241e-08
60,5.308462881143398e-08
61,5.2639380948144826e-08
62,5.2322488602757606e-08
63,5.248737077378925e-08
64,5.310138740728418e-08
65,5.3860576619331326e-08
66,5.3334722263182e-08
67,5.350627887205779e-08
68,5.3384275606053545e-08
69,5.3804966992818647e-08
70,5.3982148053065245e-08
71,5.437907840010178e-08
72,5.3449318325426544e-08
73,5.2848693420269357e-08
74,5.1674566231039365e-08
75,5.031383794439958e-08
76,4.965790812864732e-08
77,4.8261933925019086e-08
78,4.797695696756826e-08
79,4.820141463879051e-08
80,4.786980858483907e-08
81,4.732845883252458e-08
82,4.680191495551267e-08
83,4.6119666394174264e-08
84,4.491489951716913e-08
85,4.4070091966362965e-08
86,3.0435182230242805e-08
87,2.9237115967156946e-08
88,2.9440440149262775e-08
89,2.7975148540983137e-08
90,2.726298814406051e-08
91,2.5483899154251075e-08
92,2.3378438920340247e-08
93,2.4298833983403972e-08
94,2.4292476372834095e-08
95,2.347104595394651e-08
96,2.146903291319729e-08
97,2.086004909961352e-08
98,1.990152047559633e-08
99,2.029663084521773e-08
100,1.8659045436432247e-08
101,1.9246836968118594e-08
102,1.7126999003070555e-08
103,1.67203962885151e-08
104,1.526411526767086e-08
105,1.5488570419715115e-08
106,1.4592530564052431e-08
107,1.511270383122862e-08
108,1.5604727102440842e-08
109,1.509829566769637e-08
110,1.4631293225484943e-08
111,1.4255909943764344e-08
112,1.4845319313791108e-08
113,1.4037614587505876e-08
114,1.4459631015553143e-08
115,1.485969534201456e-08
116,1.427702153018433e-08
117,1.4265998192159753e-08
118,1.4115352505374168e-08
119,1.4002303781577258e-08
120,1.424875759552182e-08
121,1.4640145185369905e-08
122,1.4947638020263873e-08
123,1.5213777890183487e-08
124,1.5425295104606136e-08
125,1.548318211530066e-08
126,1.4281856768299897e-08
127,1.4527225862628388e-08
128,1.4390641911190666e-08
129,1.4623714351957215e-08
130,1.4516090986046882e-08
131,1.436745236039723e-08
132,1.4489939591697739e-08
133,1.4073505591152448e-08
134,1.4052359311393223e-08
135,1.4110840345516732e-08
