,0
0,1.6650716587283247e-08
1,1.6783688473926627e-08
2,1.4538343608160982e-08
3,1.4292882076373214e-08
4,1.3690536308244229e-08
5,1.286430354930897e-08
6,1.2715997225260452e-08
7,1.2270501203489396e-08
8,1.2934052869205448e-08
9,1.2542167682432664e-08
10,1.820618251777172e-08
11,1.6125037463583616e-08
12,1.7827470468051748e-08
13,1.7545650721300725e-08
14,1.6030894175462523e-08
15,1.4713370189442402e-08
16,1.6329452028093127e-08
17,1.5266786747944676e-08
18,1.385257881978888e-08
19,1.4045315505928498e-08
20,1.4183201452820596e-08
21,1.468877147925608e-08
22,1.615245202207022e-08
23,1.4494112140797408e-08
24,1.3489911431631911e-08
25,1.3219685243451e-08
26,1.309305900705206e-08
27,1.2611915658175682e-08
28,1.2378157687768658e-08
29,1.208597167207809e-08
30,1.2072228323931757e-08
31,1.1789898589880227e-08
32,1.200998613061757e-08
33,1.1695737673164064e-08
34,1.1480650713576595e-08
35,1.1432482809154674e-08
36,5.0402621840459806e-08
37,5.20619058912739e-08
38,5.354667291360318e-08
39,5.395463411004655e-08
40,5.4393745740554797e-08
41,5.685987607523694e-08
42,5.3994516412268266e-08
43,5.4246423296673264e-08
44,5.471457882965279e-08
45,5.565169399159894e-08
46,5.4898693272727244e-08
47,5.5635233820298324e-08
48,5.551525282531563e-08
49,5.483846376725225e-08
50,5.6025969171547626e-08
51,5.994270415766271e-08
52,6.008839976833732e-08
53,6.118023424556304e-08
54,6.032211244007892e-08
55,6.048276119801114e-08
56,6.096633993178229e-08
57,6.249123678835587e-08
58,6.301754425693423e-08
59,6.438319718467412e-08
60,6.389394698990858e-08
61,6.341720342899614e-08
62,6.299050805344656e-08
63,6.290228323469026e-08
64,6.277065124938407e-08
65,6.274560101256819e-08
66,6.21715903379103e-08
67,6.237127004204324e-08
68,6.232048773037283e-08
69,6.273847108864768e-08
70,6.292245038304526e-08
71,6.334659737295983e-08
72,6.266480184853303e-08
73,6.208197372019143e-08
74,6.071751345451872e-08
75,5.96963577883757e-08
76,5.86130050422719e-08
77,5.735843681851799e-08
78,5.6559450170404475e-08
79,5.640075328879799e-08
80,5.1739764050369545e-08
81,4.889671848388644e-08
82,4.772766294171453e-08
83,4.6670055477859574e-08
84,4.5676376129937295e-08
85,4.474448856746774e-08
86,4.329421073024051e-08
87,3.833171866010409e-08
88,3.588601302687473e-08
89,3.112227318614794e-08
90,3.0566871606397075e-08
91,2.8963881032486843e-08
92,2.4131780798487934e-08
93,2.4786026659793233e-08
94,2.459522925406454e-08
95,2.3130209460065402e-08
96,2.1353998509958988e-08
97,2.0806582854284474e-08
98,1.9888100978801692e-08
99,2.0212211322337756e-08
100,1.9187441177066e-08
101,1.9069318099998707e-08
102,1.754320254914151e-08
103,1.570183212244431e-08
104,1.5023792650111197e-08
105,1.4819086984385128e-08
106,1.4226729396402587e-08
107,1.4812307479049554e-08
108,1.5317666254869826e-08
109,1.4876270106435532e-08
110,1.4454806495639134e-08
111,1.3921301473489013e-08
112,1.4323413854916339e-08
113,1.3679086613657689e-08
114,1.3920450749569893e-08
115,1.4422443109876158e-08
116,1.4083800735175692e-08
117,1.3914362566846296e-08
118,1.3837707986488991e-08
119,1.3616635244756293e-08
120,1.3909711624601213e-08
121,1.4318653065813137e-08
122,1.4584500754153616e-08
123,1.4853318726066602e-08
124,1.504283480260507e-08
125,1.515812049491562e-08
126,1.414807544144386e-08
127,1.4283467558039546e-08
128,1.4104568130030935e-08
129,1.431901283945812e-08
130,1.4290406069774934e-08
131,1.4075527425014102e-08
132,1.4194946663855597e-08
133,1.3901388781918624e-08
134,1.3721313857159853e-08
135,1.3805056573924953e-08
