,0
0,2.6716448448151163e-08
1,2.6310188942497748e-08
2,2.5944028445519418e-08
3,2.554542569155844e-08
4,2.5187912799947122e-08
5,2.5060910094452425e-08
6,2.4493088920306844e-08
7,2.4172130878062836e-08
8,2.3869199858885857e-08
9,2.3572829315888312e-08
10,2.3287511382686077e-08
11,2.3009642520610504e-08
12,2.2741763196486504e-08
13,2.2495384403744925e-08
14,2.224591219944291e-08
15,2.200587220721275e-08
16,2.177244116909902e-08
17,2.1516468207360166e-08
18,2.14672831964314e-08
19,2.0999750528160452e-08
20,2.092638290272906e-08
21,2.078245573939096e-08
22,2.0465285329714887e-08
23,2.030969991000379e-08
24,2.0165869581154567e-08
25,1.9932247720231396e-08
26,1.975576382900956e-08
27,1.9585166595081382e-08
28,1.9425717078697425e-08
29,1.9362564248795152e-08
30,1.9090415575255866e-08
31,1.8936757282341874e-08
32,1.8784630506261405e-08
33,1.8637493731193438e-08
34,1.8494756204226e-08
35,1.8357141433039535e-08
36,1.8212822840998746e-08
37,1.8083760478923322e-08
38,1.7953889430765495e-08
39,1.7821948081576895e-08
40,1.7682840992492627e-08
41,1.757939889373115e-08
42,1.7459195216037133e-08
43,1.7340597762573767e-08
44,1.722801365070239e-08
45,1.711411212989815e-08
46,1.700256035786849e-08
47,1.6936059635872824e-08
48,1.686441010163228e-08
49,1.6713859523776943e-08
50,1.6616314606824206e-08
51,1.6519894755507604e-08
52,1.641191965885387e-08
53,1.6328968873516647e-08
54,1.6229569252334558e-08
55,1.615469022888646e-08
56,1.606813803278333e-08
57,1.598211238860067e-08
58,1.5899172275005854e-08
59,1.5818324601014372e-08
60,1.5737716111121035e-08
61,1.565967650694707e-08
62,1.5583201307156076e-08
63,1.550745471403173e-08
64,1.5433549946755122e-08
65,1.5361485777939388e-08
66,1.529040768854836e-08
67,1.521996088939447e-08
68,1.5151800535650836e-08
69,1.5084793847278232e-08
70,1.501829824632633e-08
71,1.4953472017440924e-08
72,1.489026606022758e-08
73,1.4831682949784672e-08
74,1.4810854039381772e-08
75,1.4710113453050554e-08
76,1.4651851637164376e-08
77,1.4592868774265056e-08
78,1.4539674675008442e-08
79,1.4479079625881082e-08
80,1.4423626968567507e-08
81,1.4365878991560823e-08
82,1.434468595404506e-08
83,1.4258584347655179e-08
84,1.4207561020266894e-08
85,1.4156940777662487e-08
86,1.4106754053890682e-08
87,1.4057817750006498e-08
88,1.400983924967763e-08
89,1.3962394434874277e-08
90,1.3916331872549036e-08
91,1.3870874330260383e-08
92,1.3825854160978672e-08
93,1.3782881886527877e-08
94,1.3740025830992356e-08
95,1.3699238335249207e-08
96,1.3655433709895085e-08
97,1.3611815509987389e-08
98,1.3570563791951982e-08
99,1.3530274190226837e-08
100,1.3445436034334943e-08
101,1.3420126475029245e-08
102,1.3395198088286767e-08
103,1.3370138102329646e-08
104,1.3345855200667484e-08
105,1.3271470167600119e-08
106,1.3247137478623228e-08
107,1.3223172126839153e-08
108,1.3199683759105689e-08
109,1.3176583572223607e-08
110,1.315202126154085e-08
111,1.3116108809364197e-08
112,1.3082347752840145e-08
113,1.30480702797354e-08
114,1.2993106834907861e-08
115,1.2972643840920415e-08
116,1.2953065152219763e-08
117,1.2933081399110432e-08
118,1.2910261865189578e-08
119,1.2855953648900282e-08
120,1.2828871124853861e-08
121,1.2802695322061059e-08
122,1.2777351432441375e-08
123,1.2748677864940582e-08
124,1.2719628281662842e-08
125,1.2693415048330793e-08
126,1.2665323102359496e-08
127,1.264300867184991e-08
128,1.2624809470345758e-08
129,1.260612501913257e-08
130,1.2589435859697892e-08
131,1.2572655075300803e-08
132,1.2554508820724269e-08
133,1.2492574082831916e-08
134,1.2470540183066606e-08
135,1.2446043159351425e-08
