,0
0,2.6796328596107046e-08
1,2.6505096409090628e-08
2,2.6023813766042283e-08
3,2.548331186480435e-08
4,2.5197747489276502e-08
5,2.4718253605631526e-08
6,2.4404132545201072e-08
7,2.4204783824312808e-08
8,2.3806713784012277e-08
9,2.3504369192611783e-08
10,2.3098906927403947e-08
11,2.286972638860323e-08
12,2.2574834555647203e-08
13,2.230181524331253e-08
14,2.2040497790829314e-08
15,2.1925993196773934e-08
16,2.1593905652980188e-08
17,2.1207732779445403e-08
18,2.1087524557869747e-08
19,2.086644201836407e-08
20,2.0754099437014715e-08
21,2.0699127243406428e-08
22,2.0315656852880506e-08
23,2.020380163784464e-08
24,1.994240315013925e-08
25,1.9770658209635518e-08
26,1.9594768362925586e-08
27,1.94771154339754e-08
28,1.9251832347359856e-08
29,1.9091075922674038e-08
30,1.892765162901011e-08
31,1.877378881447979e-08
32,1.862575850060328e-08
33,1.848316436864453e-08
34,1.833949953392363e-08
35,1.8202545949789722e-08
36,1.8067149186930378e-08
37,1.7936860495051743e-08
38,1.780897591978773e-08
39,1.7683145311048574e-08
40,1.7561468536712062e-08
41,1.7444476469786813e-08
42,1.7328214809639328e-08
43,1.7215124028807924e-08
44,1.7102985785317494e-08
45,1.6993794843234054e-08
46,1.687503294022821e-08
47,1.6784774764583854e-08
48,1.67077595708971e-08
49,1.655361800127324e-08
50,1.6495760414393906e-08
51,1.640208252737538e-08
52,1.6310175167029892e-08
53,1.6221006004301444e-08
54,1.6133031377883622e-08
55,1.6048305067928893e-08
56,1.596556760220769e-08
57,1.5906024117927763e-08
58,1.5801574307112724e-08
59,1.5722388822515477e-08
60,1.5636947857342148e-08
61,1.5568609548178604e-08
62,1.545472296615476e-08
63,1.5419317896769202e-08
64,1.5345221007923745e-08
65,1.5277335746313764e-08
66,1.5207392717488543e-08
67,1.5139838198061678e-08
68,1.5100341386529042e-08
69,1.501088263387431e-08
70,1.4943066131609727e-08
71,1.4890246777185544e-08
72,1.4828449731085371e-08
73,1.4768022044330623e-08
74,1.4707766252019892e-08
75,1.4649945662806472e-08
76,1.4599343277816742e-08
77,1.454699632868439e-08
78,1.4461528713865181e-08
79,1.4392098933552013e-08
80,1.4366244173386803e-08
81,1.4328719641234173e-08
82,1.4275040706874366e-08
83,1.4222445703574603e-08
84,1.4170515468754056e-08
85,1.412317294361997e-08
86,1.4074511324847503e-08
87,1.402965297530332e-08
88,1.3957452879107867e-08
89,1.3921354860931805e-08
90,1.3877673821668124e-08
91,1.3835193341701726e-08
92,1.379291794676802e-08
93,1.374872196410523e-08
94,1.3707085356280056e-08
95,1.3664167936911783e-08
96,1.3624055840001584e-08
97,1.3583018996416034e-08
98,1.3544286466464519e-08
99,1.3503475764762355e-08
100,1.3464785513126565e-08
101,1.3434231594409097e-08
102,1.3400286343112147e-08
103,1.3366935533637888e-08
104,1.3333861281101758e-08
105,1.33001442492436e-08
106,1.3269304728362722e-08
107,1.3237169156132879e-08
108,1.3206770892086582e-08
109,1.3144796175422142e-08
110,1.3111522493637888e-08
111,1.3079976133089234e-08
112,1.3050108482421301e-08
113,1.302402815698802e-08
114,1.2988698582461476e-08
115,1.2958482595317942e-08
116,1.2929495215214702e-08
117,1.2900409125515368e-08
118,1.2875044633935247e-08
119,1.284908132073855e-08
120,1.2801487740506565e-08
121,1.2778487450202017e-08
122,1.2747788447415551e-08
123,1.2719727877005722e-08
124,1.268830552247208e-08
125,1.264733286513855e-08
126,1.2640554315164523e-08
127,1.2605870752922402e-08
128,1.2592248931344649e-08
129,1.2564270788495249e-08
130,1.2545342526598157e-08
131,1.2524671167464234e-08
132,1.2494621469979321e-08
133,1.2478581556355621e-08
134,1.2452448254434875e-08
135,1.244140737095527e-08
